CodOrgSuperior;OrgSuperior;OrgSubordinado;UnidadeGestora;Data;Favorecido;Valor
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;9� GRUPAMENTO LOG�STICO;29/11/2017;R C LIRA DE C ALMEIDA [RESTAURANTE, LANCHONETE E HOTEL CASAGRANDE];80
32000;MINISTERIO DE MINAS E ENERGIA;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;06/01/2017;METROPOLITAN HOTEL LTDA [METROPOLITAN HOTEL];78.5
52000;MINISTERIO DA DEFESA;FUNDO DO EXERCITO;5. BATALHAO DE SUPRIMENTO;15/02/2017;LUANA SALVI & CIA. LTDA. - ME [POUSADA NORTE-SUL];78.3
32000;MINISTERIO DE MINAS E ENERGIA;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;08/02/2017;METROPOLITAN HOTEL LTDA [METROPOLITAN HOTEL];77.5
20000;PRESIDENCIA DA REPUBLICA;INSTITUTO NAC. DE COLONIZACAO E REF. AGRARIA;SUPERINTEND.ESTADUAL DO PARA-INCRA/SR-01;27/05/2017;JOANIM HOTEIS E PONTO DE APOIO LTDA [HOTEL CRICABOM];77.07
40000;MINISTERIO DO TRABALHO;FUNDO DE AMPARO AO TRABALHADOR;SUPERINT REG DO TRAB E EMPREGO/PI;27/07/2017;JOSE DA LUZ SILVA MERCEARIA - ME [HOTEL FLORA];75
52000;MINISTERIO DA DEFESA;FUNDO DO EXERCITO;5. BATALHAO DE SUPRIMENTO;08/02/2017;HOTEL E RESTAURANTE GAUCHAO LTDA - ME;74
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;5. BATALHAO DE SUPRIMENTO;06/12/2017;E. TRAMONTINA E C. TRAMONTINA HOTEL E RESTAURANTE LTDA;70
52000;MINISTERIO DA DEFESA;FUNDO DO EXERCITO;5. BATALHAO DE SUPRIMENTO;08/02/2017;G. CRISTO - RESTAURANTE  - ME [HOTEL E RESTAURANTE ALVORADA];67
32000;MINISTERIO DE MINAS E ENERGIA;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;27/04/2017;GOMES VALADARES & DAL SANTOS DE SOUZA LTDA - ME [HOTEL E RESTAURANTE AMAZONAS];66
