CodOrgSuperior;OrgSuperior;OrgSubordinado;UnidadeGestora;Data;Favorecido;Valor
32000;MINISTERIO DE MINAS E ENERGIA;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;15/07/2017;HOTEL E RESTAURANTE SOLTOVSKI EIRELI - ME [HOTEL E RESTAURANTE CONEXAO PACIFICO];320
40000;MINISTERIO DO TRABALHO;FUNDO DE AMPARO AO TRABALHADOR;SUPERINT REG DO TRAB E EMPREGO/BA;27/03/2017;PAULO SIMIAO DE JESUS - ME [CASA DAS MAQUINAS & CAFE EXPRESSO];320
26000;MINISTERIO DA EDUCACAO;FUN.UNIV.FED.DE CIENCIAS DA SAUDE DE P.ALEGRE;FUND.UNIV.FED.DE.CIENC.DA SAUDE DE P.ALEGRE;27/03/2017;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA [SUPERMERCADOS ZAFFARI];319.94
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM PERNAMBUCO;30/05/2017;BOMPRECO SUPERMERCADOS DO NORDESTE LTDA [SUPERMERCADO TODO DIA];319.9
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;BASE ADMINISTRATIVA DO CMDO DE OP ESPECIAIS;23/09/2017;SENDAS DISTRIBUIDORA S/A;319.9
26000;MINISTERIO DA EDUCACAO;UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO;UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ;19/04/2017;GERMANS DISTRIBUIDORA DE COMESTIVEIS LTDA [SUPERMERCADOS CAMPEAO];319.49
26000;MINISTERIO DA EDUCACAO;UNIVERSIDADE FEDERAL DE LAVRAS;UNIVERSIDADE FEDERAL DE LAVRAS;25/09/2017;SUPERMERCADOS REX LTDA;319.04
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;COUDELARIA DE RINCAO;18/11/2017;RODOSNACK DO JAPONES LANCHONETE E RESTAURANTE LTDA;318.7
26000;MINISTERIO DA EDUCACAO;INST.FED.DE EDUC.,CIENC.E TEC.CATARINENSE;IF CATARINENSE - CAMPUS CAMBORIU;07/08/2017;SUPERMERCADOS IRMAOS UNIDOS LTDA. [SUPERMERCADOS SCHMIT];318.6
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;BASE ADMINISTRATIVA DO C COM G EX;20/10/2017;GILDASIO FERNANDES FONSECA - ME [RESTAURANTE CRUZEIRO];318.6
25000;MINISTERIO DA FAZENDA;MINISTERIO DA FAZENDA;SUPERINTEND�NCIA DE ADMINISTRA��O DO MF/BA;27/04/2017;PAULO SIMIAO DE JESUS - ME [CASA DAS MAQUINAS & CAFE EXPRESSO];318.5
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE NO CEARA;19/07/2017;N.C.LIMA SUPERMERCADOS LTDA;318.07
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE NO RIO GRANDE DO SUL;25/08/2017;SUPERMERCADO GUANABARA S.A. [SUPERMERCADO GUANABARA];318
53000;MINISTERIO DA INTEGRACAO NACIONAL;COMPANHIA DE DESENV. DO VALE DO SAO FRANCISCO;CIA DE DES.DOS VALES DO S.FRANC.E DO PARNAIBA;30/03/2017;DOCELAR SUPERMERCADOS LTDA [DOCELAR];317.99
