CodOrgSuperior;OrgSuperior;OrgSubordinado;UnidadeGestora;Data;Favorecido;Valor
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;27/10/2017;AUTO POSTO ROSANGELA LTDA;94.01
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;15/12/2017;AUTO POSTO MARGINAL LTDA;94.01
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;07/12/2017;AUTO POSTO DO VALE DE NOVO HORIZONTE LTDA [AUTO POSTO DO VALE DE NOVO HORIZONTE];94.01
32000;MINISTERIO DE MINAS E ENERGIA;DEPARTAMENTO NACIONAL DE PRODUCAO MINERAL;SUPERINTEND�NCIA DO DNPM-PA;21/06/2017;POSTO GAROUPA;94
52000;MINISTERIO DA DEFESA;MINISTERIO DA DEFESA;CENTRO GESTOR OP. SISTEMA PROTECAO AMAZONIA;22/03/2017;A G MADALON COMERCIO DE COMBUSTIVEIS EIRELI - EPP [AUTO POSTO FLORESTA];94
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;17/10/2017;AUTO POSTO NAGATA LTDA;94
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;04/10/2017;AUTO POSTO BANDEIRA PAULISTA LTDA;94
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;23/10/2017;POSTO ITAMARATI GENESIS LTDA;94
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;06/10/2017;AUTO POSTO ITAMARATI DE MARILIA EIRELI [POSTO ITAMARATI];94
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;24/10/2017;AUTO POSTO ITAMARATI DE MARILIA EIRELI [POSTO ITAMARATI];94
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;10/10/2017;J PENA & CIA LTDA - EPP [POSTO SANTO ANTONIO];94
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;16/11/2017;AUTO POSTO PIT STOP DRACENA LTDA - EPP [PIT STOP AUTO POSTO];94
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;13/11/2017;POSTO PEIXINHO;94
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;30/10/2017;VALDEMARIN 4 - COMERCIO DE COMBUSTIVEIS E DERIVADOS DE PETROLEO LTDA [POSTO VALDEMARIN 4];94
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;14/11/2017;AUTO POSTO GUARDAMOR LTDA [AUTO POSTO GUARDAMOR LTDA EPP];94
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;29/11/2017;POSTO ITAMARATI GENESIS LTDA;94
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;24/10/2017;LUMMAR DE IBIUNA AUTO POSTO LTDA;93.99
22000;MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO;MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO;SUPERINT.FED.DE AGRIC.,PEC.E ABASTECIMENTO/PA;20/12/2017;POSTO BOM JESUS;93.97
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;27/11/2017;AUTO POSTO ZORZETTO & ANTONIALLI LTDA;93.93
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;OBSERVATORIO NACIONAL;22/09/2017;POSTO E GARAGEM PEROLA LTDA;93.89
20000;PRESIDENCIA DA REPUBLICA;INST. NACIONAL DE COLONIZ. E REFORMA AGRARIA;SUPERINTEND.ESTADUAL DE GOIAS-INCRA/SR-04;25/08/2017;ROHDEN & OLIVEIRA LTDA [AUTO POSTO PLANALTO];93.86
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;01/11/2017;AUTO POSTO CENTRAL J. B. LTDA. [AUTO POSTO CENTRAL];93.85
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;16/10/2017;AUTOPOSTO NOVA GERACAO LTDA.;93.84
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;10/10/2017;REDE DE POSTOS SETE ESTRELAS LTDA;93.82
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;06/11/2017;AUTO POSTO LADEIRA DA SERRA LTDA;93.81
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;05/12/2017;POSTO GIGANTE AMPARO;93.79
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;11/12/2017;POSTO SETE ESTRELAS;93.77
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;18/12/2017;POSTO BATALHA LTDA;93.77
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;18/10/2017;POSTO TAUBATE;93.7
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;19/10/2017;AUTO POSTO ESTRADAO DE ITARARE LTDA [AUTO POSTO ESTRADAO];93.69
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;01/12/2017;AUTO POSTO ELDORADO DE TAQUARITINGA LTDA [AUTO POSTO ELDORADO];93.68
40000;MINISTERIO DO TRABALHO;MINISTERIO DO TRABALHO;SUPERINT REG DO TRAB E EMPREGO/MTPS/ES;20/06/2017;POSTO SAO MIGUEL;93.66
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;07/11/2017;A I AZRAK & CIA LTDA [POSTO SAO CRISTOVAO];93.65
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;18/09/2017;AUTO POSTO REBOUCAS LTDA;93.64
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;20/09/2017;AUTO POSTO VANUIRE;93.62
53000;MINISTERIO DA INTEGRACAO NACIONAL;SUPERINTEND.DO DESENVOLV.DA AMAZONIA-SUDAM;SUPERINTEND. DO DESENVOLVIMENTO DA AMAZONIA;17/02/2017;AUTO POSTO DE COMBUSTIVEIS SERRA DO CARMO LTDA [AUTO POSTO SERRA DO CARMO];93.61
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE NO PARANA;13/11/2017;Posto Central TEF;93.61
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE NO ACRE;23/02/2017;LUBRAS DISTRIBUIDORA LTDA - ME [POSTO FORMULA 1];93.6
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;7�BATALH�O DE ENGENHARIA DE CONSTRU��O;25/11/2017;AUTO POSTO MIRIAN;93.57
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;12/12/2017;FLASHCAR AUTO POSTO LTDA [FLASHCAR AUTO POSTO LTDA];93.57
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;19/10/2017;J PENA & CIA LTDA - EPP [POSTO SANTO ANTONIO];93.54
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;FUNDACAO IBGE-ADMINISTRACAO CENTRAL/RJ;18/08/2017;POSTO DE SERVICO ERTHAL LTDA;93.5
36000;MINISTERIO DA SAUDE;FUNDO NACIONAL DE SAUDE;INSTITUTO EVANDRO CHAGAS;19/09/2017;GONCALVES & DIAS LTDA [POSTO PARA VIP];93.5
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;08/11/2017;AUTO POSTO ALPES DE CAIEIRAS LTDA;93.5
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE NO PARANA;27/11/2017;RAUAN NEVES ROSINSKI [AUTO POSTO ARARA AZUL];93.5
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;05/12/2017;AUTO POSTO ELDORADO DE TAQUARITINGA LTDA [AUTO POSTO ELDORADO];93.49
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;13/12/2017;AUTO POSTO ELDORADO DE TAQUARITINGA LTDA [AUTO POSTO ELDORADO];93.49
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;13/12/2017;AUTO POSTO PAULA FERREIRA LTDA;93.46
20000;PRESIDENCIA DA REPUBLICA;INSTITUTO NAC. DE COLONIZACAO E REF. AGRARIA;SUPERINTEND.ESTADUAL DO PARANA-INCRA/SR-09;27/10/2017;QUENORTE COMERCIAL DE COMBUSTIVEIS LTDA [POSTO PIONEIRO];93.4
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;25/10/2017;AUTO POSTO JO-ANA LTDA;93.39
